Source:,/home/fran/CIAA/Repositorios/TPpcbdesign/tempRelayPoncho.sch,,,,,,,,,,,
Date:,Tue 08 Aug 2017 09:52:31 PM ART,,,,,,,,,,,
Tool:,Eeschema 4.0.6-e0-6349~53~ubuntu16.04.1,,,,,,,,,,,
Generator:,/home/fran/CIAA/Repositorios/TPpcbdesign/tools/bom_csv_grouped_by_value.py,,,,,,,,,,,
Component Count:,37,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Descripcion,Description,Digikey#,Manf,Manf#,Mouser#
,,C1,10u,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 10uF 6.3volts X5R 20%,490-1718-1-ND,Murata,GRM21BR60J106ME19L,81-GRM21BR60J106ME19
,,C2,100n,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 10Volts U2J 5%,490-11592-1-ND,Murata,GRM21B7U1A104JA01L,81-GRM21B7U1A104JA1L
,,C3,10u,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 10uF 6.3volts X5R 20%,490-1718-1-ND,Murata,GRM21BR60J106ME19L,81-GRM21BR60J106ME19
,,C4,10u,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 10uF 6.3volts X5R 20%,490-1718-1-ND,Murata,GRM21BR60J106ME19L,81-GRM21BR60J106ME19
,,C5,100n,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 10Volts U2J 5%,490-11592-1-ND,Murata,GRM21B7U1A104JA01L,81-GRM21B7U1A104JA1L
,,C6,100n,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 10Volts U2J 5%,490-11592-1-ND,Murata,GRM21B7U1A104JA01L,81-GRM21B7U1A104JA1L
,,D1,RELAY_1,TempRelay:LED_ALT,footprints:LED-0805,qtlp630c-2.pdf,,Red 645nm LED Indication - Discrete 1.9V 0805 (2012 Metric),1080-1412-2-ND,Everlight Electronics Co Ltd,QTLP630C7TR,Value
,,D2,RELAY_2,TempRelay:LED_ALT,footprints:LED-0805,qtlp630c-2.pdf,,Red 645nm LED Indication - Discrete 1.9V 0805 (2012 Metric),1080-1412-2-ND,Everlight Electronics Co Ltd,QTLP630C7TR,Value
,,D3,MRA4003T3G,TempRelay:DIODE,footprints:DO-214AA(SMB),MRA4003T3-D.PDF,,Diode Standard 300V 1A SMA,MRA4003T3GOSTR-ND,ON Semiconductor,MRA4003T3G,Value
,,D4,MRA4003T3G,TempRelay:DIODE,footprints:DO-214AA(SMB),MRA4003T3-D.PDF,,Diode Standard 300V 1A SMA,MRA4003T3GOSTR-ND,ON Semiconductor,MRA4003T3G,Value
,,D5,SSR_OUT,TempRelay:LED_ALT,footprints:LED-0805,qtlp630c-2.pdf,,Red 645nm LED Indication - Discrete 1.9V 0805 (2012 Metric),1080-1412-2-ND,Everlight Electronics Co Ltd,QTLP630C7TR,Value
,,F1,FIDUCIAL,TempRelay:FIDUCIAL,footprints:Fiducial_1mm,,FIDUCIAL,,,,,
,,F2,FIDUCIAL,TempRelay:FIDUCIAL,footprints:Fiducial_1mm,,FIDUCIAL,,,,,
,,F3,FIDUCIAL,TempRelay:FIDUCIAL,footprints:Fiducial_1mm,,FIDUCIAL,,,,,
,,J1,Screw_Terminal_1x02,TempRelay:Screw_Terminal_1x02,footprints:TerminalBlock_Pheonix_MKDS1.5-2pol,MKDS Phoenix 1-5.pdf,,2 Position Wire to Board Terminal Block Horizontal with Board 0.138,277-5719-ND,Phoenix Contact,1751248,Value
,,J2,Screw_Terminal_1x02,TempRelay:Screw_Terminal_1x02,footprints:TerminalBlock_Pheonix_MKDS1.5-2pol,MKDS Phoenix 1-5.pdf,,2 Position Wire to Board Terminal Block Horizontal with Board 0.138,277-5719-ND,Phoenix Contact,1751248,Value
,,J3,Screw_Terminal_1x02,TempRelay:Screw_Terminal_1x02,footprints:TerminalBlock_Pheonix_MKDS1.5-2pol,MKDS Phoenix 1-5.pdf,,2 Position Wire to Board Terminal Block Horizontal with Board 0.138,277-5719-ND,Phoenix Contact,1751248,Value
,,J4,Screw_Terminal_1x02,TempRelay:Screw_Terminal_1x02,footprints:TerminalBlock_Pheonix_MKDS1.5-2pol,MKDS Phoenix 1-5.pdf,,"2 Position Wire to Board Terminal Block Horizontal with Board 0.138"" (3.50mm) Through Hole",277-5719-ND,Phoenix Contact,1751248,Value
,,J5,Screw_Terminal_1x02,TempRelay:Screw_Terminal_1x02,footprints:TerminalBlock_Pheonix_MKDS1.5-2pol,MKDS Phoenix 1-5.pdf,,"2 Position Wire to Board Terminal Block Horizontal with Board 0.138"" (3.50mm) Through Hole",277-5719-ND,Phoenix Contact,1751248,Value
,,J6,Screw_Terminal_1x02,TempRelay:Screw_Terminal_1x02,footprints:TerminalBlock_Pheonix_MKDS1.5-2pol,MKDS Phoenix 1-5.pdf,,"2 Position Wire to Board Terminal Block Horizontal with Board 0.138"" (3.50mm) Through Hole",277-5719-ND,Phoenix Contact,1751248,Value
,,Q1,MMBT3904,TempRelay:MMBT3904,footprints:SOT23_NPN,2N3904-82270.pdf,,Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 350mW,MMBT3904FSCT-ND,ON Semiconductor,MMBT3904,Value
,,Q2,MMBT3904,TempRelay:MMBT3904,footprints:SOT23_NPN,2N3904-82270.pdf,,Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 350mW,MMBT3904FSCT-ND,ON Semiconductor,MMBT3904,Value
,,R1,10k,TempRelay:R,footprints:R_0805_HandSoldering,Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 10K OHM 1%,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL,603-RC0805FR-0710KL
,,R2,1k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 1K OHM 1%,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL,603-RC0805FR-071KL
,,R3,1k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 1K OHM 1%,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL,603-RC0805FR-071KL
,,R4,1k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 1K OHM 1%,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL,603-RC0805FR-071KL
,,R5,1k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 1K OHM 1%,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL,603-RC0805FR-071KL
,,R6,10k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 10K OHM 1%,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL,603-RC0805FR-0710KL
,,R7,10k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 10K OHM 1%,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL,603-RC0805FR-0710KL
,,R8,1k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 1K OHM 1%,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL,603-RC0805FR-071KL
,,R9,100,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,1Thick Film Resistors - SMD 100 OHM 1%,311-100CRCT-ND,Yageo,RC0805FR-07100RL,603-RC0805FR-07100RL
,,U1,NUP2105LT1G,TempRelay:NUP2105LT1G,footprints:SOT23_NPN,NUP2105L-D-771105.pdf,,TVS DIODE 24VWM 44VC,NUP2105LT1GOSCT-ND,ON Semiconductor,NUP2105LT1G,Value
,,U2,MAX31855KASA+,TempRelay:MAX31855KASA+,footprints:SOIC-8,MAX31855.pdf,,Sensor Interface Thermocouple To Digital Converter,MAX31855KASA+-ND,Maxim Integrated,MAX31855KASA+,Value
,,U3,MCP601R,TempRelay:MCP601R,footprints:SOT-23-5_HandSoldering,"MCP601,2,3,4.pdf",,Operational Amplifiers - Op Amps Single 2.7V,Value,Microchip Technology,MCP601T-I/OT,579-MCP601T-I/OT
,,U4,G5LE-1A-5DC,TempRelay:G5LE-1A-5DC,footprints:Relay_G5LE-1A-5DC-5mm,G5LE_0813-267607.pdf,,General Purpose Relays SPST-NO 5VDC 79.4mA,Z3115-ND,Omron Electronics,G5LE-1A DC5,653-G5LE-1ADC5
,,U6,G5LE-1A-5DC,TempRelay:G5LE-1A-5DC,footprints:Relay_G5LE-1A-5DC-5mm,G5LE_0813-267607.pdf,,General Purpose Relays SPST-NO 5VDC 79.4mA,Z3115-ND,Omron Electronics,G5LE-1A DC5,653-G5LE-1ADC5
,,XA1,Conn_Poncho2P_2x_20x2,TempRelay:Conn_Poncho2P_2x_20x2,footprints:Conn_Poncho_Completo,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Descripcion,Description,Digikey#,Manf,Manf#,Mouser#
1,3,"C1, C3, C4",10u,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 10uF 6.3volts X5R 20%,490-1718-1-ND,Murata,GRM21BR60J106ME19L,81-GRM21BR60J106ME19
2,3,"C2, C5, C6",100n,TempRelay:C,footprints:C_0805_HandSoldering,c02e-2905.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 10Volts U2J 5%,490-11592-1-ND,Murata,GRM21B7U1A104JA01L,81-GRM21B7U1A104JA1L
3,1,D1,RELAY_1,TempRelay:LED_ALT,footprints:LED-0805,qtlp630c-2.pdf,,Red 645nm LED Indication - Discrete 1.9V 0805 (2012 Metric),1080-1412-2-ND,Everlight Electronics Co Ltd,QTLP630C7TR,Value
4,1,D2,RELAY_2,TempRelay:LED_ALT,footprints:LED-0805,qtlp630c-2.pdf,,Red 645nm LED Indication - Discrete 1.9V 0805 (2012 Metric),1080-1412-2-ND,Everlight Electronics Co Ltd,QTLP630C7TR,Value
5,2,"D3, D4",MRA4003T3G,TempRelay:DIODE,footprints:DO-214AA(SMB),MRA4003T3-D.PDF,,Diode Standard 300V 1A SMA,MRA4003T3GOSTR-ND,ON Semiconductor,MRA4003T3G,Value
6,1,D5,SSR_OUT,TempRelay:LED_ALT,footprints:LED-0805,qtlp630c-2.pdf,,Red 645nm LED Indication - Discrete 1.9V 0805 (2012 Metric),1080-1412-2-ND,Everlight Electronics Co Ltd,QTLP630C7TR,Value
7,3,"F1, F2, F3",FIDUCIAL,TempRelay:FIDUCIAL,footprints:Fiducial_1mm,,FIDUCIAL,,,,,
8,6,"J1, J2, J3, J4, J5, J6",Screw_Terminal_1x02,TempRelay:Screw_Terminal_1x02,footprints:TerminalBlock_Pheonix_MKDS1.5-2pol,MKDS Phoenix 1-5.pdf,,2 Position Wire to Board Terminal Block Horizontal with Board 0.138,277-5719-ND,Phoenix Contact,1751248,Value
9,2,"Q1, Q2",MMBT3904,TempRelay:MMBT3904,footprints:SOT23_NPN,2N3904-82270.pdf,,Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 350mW,MMBT3904FSCT-ND,ON Semiconductor,MMBT3904,Value
10,3,"R1, R6, R7",10k,TempRelay:R,footprints:R_0805_HandSoldering,Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 10K OHM 1%,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL,603-RC0805FR-0710KL
11,5,"R2, R3, R4, R5, R8",1k,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,Thick Film Resistors - SMD 1K OHM 1%,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL,603-RC0805FR-071KL
12,1,R9,100,TempRelay:R,footprints:R_0805_HandSoldering,../Datasheets/Yageo_08112016_RC0805-968729.pdf,,1Thick Film Resistors - SMD 100 OHM 1%,311-100CRCT-ND,Yageo,RC0805FR-07100RL,603-RC0805FR-07100RL
13,1,U1,NUP2105LT1G,TempRelay:NUP2105LT1G,footprints:SOT23_NPN,NUP2105L-D-771105.pdf,,TVS DIODE 24VWM 44VC,NUP2105LT1GOSCT-ND,ON Semiconductor,NUP2105LT1G,Value
14,1,U2,MAX31855KASA+,TempRelay:MAX31855KASA+,footprints:SOIC-8,MAX31855.pdf,,Sensor Interface Thermocouple To Digital Converter,MAX31855KASA+-ND,Maxim Integrated,MAX31855KASA+,Value
15,1,U3,MCP601R,TempRelay:MCP601R,footprints:SOT-23-5_HandSoldering,"MCP601,2,3,4.pdf",,Operational Amplifiers - Op Amps Single 2.7V,Value,Microchip Technology,MCP601T-I/OT,579-MCP601T-I/OT
16,2,"U4, U6",G5LE-1A-5DC,TempRelay:G5LE-1A-5DC,footprints:Relay_G5LE-1A-5DC-5mm,G5LE_0813-267607.pdf,,General Purpose Relays SPST-NO 5VDC 79.4mA,Z3115-ND,Omron Electronics,G5LE-1A DC5,653-G5LE-1ADC5
17,1,XA1,Conn_Poncho2P_2x_20x2,TempRelay:Conn_Poncho2P_2x_20x2,footprints:Conn_Poncho_Completo,,,,,,,
